Country,happiness2021,pop2021
Iceland,7.554,343.353
Malta,6.602,442.784
Luxembourg,7.324,634.814
Cyprus,6.223,1215.584
Estonia,6.189,1325.185
Bahrain,6.647,1748.296
Slovenia,6.461,2078.724
Lithuania,6.255,2689.862
Jamaica,6.309,2973.463
Uruguay,6.431,3485.151
Panama,6.18,4381.579
New Zealand,7.277,4860.643
Ireland,7.085,4982.907
Costa Rica,7.069,5139.052
Slovakia,6.331,5460.721
Norway,7.392,5465.63
Finland,7.842,5548.36
Denmark,7.62,5813.298
Singapore,6.377,5896.686
Switzerland,7.571,8715.494
Israel,7.157,8789.774
Austria,7.268,9043.07
United Arab Emirates,6.561,9991.089
Sweden,7.363,10160.169
Czech Republic,6.965,10724.555
Belgium,6.834,11632.326
Netherlands,7.464,17173.099
Guatemala,6.435,18249.86
Taiwan,6.584,23855.01
Australia,7.183,25788.215
Saudi Arabia,6.494,35340.683
Canada,7.103,38067.903
Spain,6.491,46745.216
Italy,6.483,60367.477
France,6.69,65426.179